ID,income_segment,age_segment
15129719,"High Income",Senior
4239473,"High Income",Senior
599574,"Medium Income",Senior
8341895,"Low Income",Adult
15924415,"Low Income",Adult
9008713,"Low Income",Senior
2899224,"Low Income",Adult
7977647,"Low Income",Adult
4871618,"High Income",Senior
5234962,"Low Income",Adult
16339561,"High Income",Senior
1921035,"High Income",Adult
2856733,"Medium Income",Adult
16268926,"Low Income",Adult
7798099,"High Income",Senior
5952217,"High Income",Adult
12731722,"Low Income",Senior
10486528,"High Income",Senior
6327059,"High Income",Senior
3622927,"Medium Income",Adult
10454263,"Medium Income",Senior
12630917,"High Income",Senior
5139109,"High Income",Adult
4283758,"Low Income",Adult
14864688,"Low Income",Senior
4284940,"High Income",Adult
12676267,"High Income",Adult
13423866,"Medium Income",Adult
5454955,"High Income",Adult
16473405,"Medium Income",Senior
1851814,"Low Income",Adult
672726,"Medium Income",Senior
6650237,"Low Income",Senior
5628983,"Medium Income",Senior
9036577,"Low Income",Senior
15381305,"High Income",Senior
6322960,"Medium Income",Senior
6648133,"Medium Income",Senior
7446504,"Medium Income",Senior
14970923,"Low Income",Senior
7237403,"Low Income",Adult
1392169,"Medium Income",Adult
15524410,"Medium Income",Adult
3753189,"High Income",Adult
3502973,"Low Income",Adult
14086669,"Low Income",Senior
3323010,"Low Income",Senior
4725535,"Low Income",Adult
3907333,"Low Income",Adult
449597,"Low Income",Adult
11495138,"High Income",Adult
8498698,"High Income",Adult
11904081,"Low Income",Adult
4981016,"Medium Income",Senior
7497309,"Medium Income",Senior
1021002,"High Income",Senior
12212807,"Medium Income",Adult
1082212,"High Income",Senior
10187040,"High Income",Senior
6336698,"Medium Income",Adult
5669693,"Medium Income",Senior
822527,"High Income",Senior
16128562,"Low Income",Senior
1806121,"High Income",Senior
904989,"Medium Income",Senior
12139892,"Medium Income",Senior
15344184,"High Income",Senior
5045872,"Low Income",Senior
2815520,"Low Income",Senior
12627918,"Medium Income",Senior
2715064,"Medium Income",Senior
7478772,"Medium Income",Senior
15010069,"High Income",Adult
15273459,"High Income",Adult
2685457,"Medium Income",Adult
13909854,"High Income",Adult
4494681,"High Income",Senior
10188200,"Medium Income",Adult
14762670,"High Income",Senior
3638015,"Medium Income",Senior
212859,"Low Income",Senior
9996726,"High Income",Senior
4796376,"High Income",Senior
8538376,"Medium Income",Adult
1757825,"Low Income",Senior
7841852,"High Income",Adult
4508790,"Medium Income",Senior
6537156,"Low Income",Adult
9853709,"Medium Income",Adult
8988078,"Low Income",Adult
7671789,"High Income",Senior
10021403,"Medium Income",Senior
12000934,"Low Income",Adult
3211055,"Low Income",Senior
6927019,"Low Income",Adult
195443,"High Income",Adult
2758316,"Medium Income",Adult
3725742,"Low Income",Adult
8297646,"Medium Income",Adult
9030318,"Medium Income",Senior
12142013,"High Income",Senior
9174753,"Medium Income",Senior
14469093,"Low Income",Senior
5564024,"High Income",Senior
12766734,"High Income",Senior
14551571,"Medium Income",Adult
2013870,"Medium Income",Adult
7572416,"Low Income",Senior
14214616,"Medium Income",Senior
10231705,"High Income",Senior
16369542,"High Income",Senior
6812344,"High Income",Adult
4922920,"Low Income",Adult
1637556,"Low Income",Senior
7430001,"High Income",Adult
7136744,"High Income",Adult
11274151,"Low Income",Senior
15829892,"High Income",Adult
4524950,"Medium Income",Adult
8834031,"Low Income",Adult
3576482,"Medium Income",Adult
9672602,"Medium Income",Senior
12555650,"Low Income",Adult
8299962,"High Income",Senior
15071150,"High Income",Adult
14159264,"Medium Income",Adult
8752690,"High Income",Senior
10851581,"Low Income",Adult
13621284,"High Income",Senior
12445099,"Low Income",Adult
15952988,"Medium Income",Senior
10133500,"High Income",Adult
662951,"Low Income",Adult
11954854,"Medium Income",Senior
1024672,"Medium Income",Adult
7781690,"Low Income",Senior
15126825,"Medium Income",Adult
195783,"High Income",Senior
2043596,"High Income",Senior
13055988,"High Income",Senior
2821486,"Low Income",Senior
4694483,"High Income",Adult
12701300,"High Income",Senior
7663435,"Low Income",Adult
16612228,"Medium Income",Adult
11145223,"Low Income",Adult
4609475,"High Income",Adult
10265482,"Low Income",Adult
2515696,"Medium Income",Senior
2649257,"High Income",Senior
5335755,"High Income",Adult
9250154,"High Income",Senior
13329275,"Low Income",Senior
4026174,"Medium Income",Adult
10528802,"High Income",Senior
9419324,"High Income",Adult
4780184,"Medium Income",Senior
14758475,"Medium Income",Adult
13732230,"Low Income",Adult
13586558,"Low Income",Senior
8062654,"High Income",Senior
2925920,"High Income",Senior
9908917,"Low Income",Senior
2302311,"Medium Income",Senior
5309098,"Medium Income",Adult
2093836,"Medium Income",Senior
8770914,"High Income",Senior
12444812,"High Income",Senior
15468280,"High Income",Senior
12983436,"High Income",Adult
16158271,"Low Income",Senior
7990266,"Low Income",Adult
15216749,"High Income",Adult
14905868,"High Income",Senior
4148427,"High Income",Adult
10214508,"High Income",Senior
3430332,"High Income",Senior
13428920,"High Income",Senior
2436539,"Medium Income",Senior
12057399,"Medium Income",Senior
10517689,"Medium Income",Senior
15533171,"Medium Income",Senior
172916,"Low Income",Adult
6335554,"Medium Income",Senior
13970906,"Low Income",Adult
382993,"High Income",Senior
9102944,"Low Income",Adult
2072314,"Low Income",Senior
13930656,"Low Income",Adult
3059069,"Medium Income",Senior
8665971,"Medium Income",Adult
16743157,"High Income",Adult
13897238,"High Income",Adult
9543081,"Medium Income",Senior
13739028,"Medium Income",Adult
12439169,"Medium Income",Adult
9702709,"Medium Income",Senior
5339987,"Low Income",Adult
7409646,"Medium Income",Senior
8063313,"High Income",Senior
13711110,"High Income",Senior
16333313,"High Income",Senior
11204880,"Medium Income",Adult
3245807,"Medium Income",Adult
4841222,"High Income",Senior
10168487,"Low Income",Senior
13642036,"Medium Income",Adult
7602447,"High Income",Adult
10636881,"Medium Income",Senior
4497058,"Low Income",Senior
1028877,"Low Income",Senior
15562599,"Low Income",Senior
10425970,"High Income",Adult
2186355,"High Income",Senior
5662838,"Medium Income",Senior
7117900,"High Income",Adult
16323437,"Low Income",Adult
9156540,"Medium Income",Senior
5830361,"Low Income",Adult
1014088,"Medium Income",Senior
9036345,"Medium Income",Senior
1415386,"Medium Income",Senior
14230094,"Medium Income",Adult
13543018,"High Income",Senior
2188867,"Low Income",Senior
9994526,"Low Income",Adult
16068625,"Medium Income",Senior
15898253,"High Income",Adult
2484684,"Medium Income",Senior
5623376,"Medium Income",Senior
1859848,"High Income",Senior
25121,"Low Income",Senior
3325196,"Medium Income",Adult
5742257,"Low Income",Senior
13866120,"Low Income",Senior
3057634,"Medium Income",Adult
14826720,"Low Income",Adult
5598028,"Low Income",Senior
9453260,"High Income",Senior
12109731,"Medium Income",Adult
4756700,"Medium Income",Senior
3020681,"Medium Income",Senior
8998155,"High Income",Senior
5081458,"Low Income",Senior
15831209,"Medium Income",Adult
11486124,"High Income",Adult
4037372,"Low Income",Senior
4746510,"Medium Income",Adult
13991247,"Medium Income",Adult
12528874,"Medium Income",Adult
525745,"Medium Income",Adult
14821887,"Low Income",Senior
6504321,"High Income",Senior
7922008,"Medium Income",Adult
4260147,"High Income",Adult
10409607,"Medium Income",Adult
1314300,"Medium Income",Adult
10724808,"Low Income",Senior
9173620,"Medium Income",Adult
7577857,"High Income",Senior
3129087,"Low Income",Senior
12417006,"High Income",Adult
16138415,"High Income",Adult
15336584,"High Income",Senior
14179826,"High Income",Adult
5574277,"High Income",Senior
13361017,"High Income",Senior
2631806,"High Income",Senior
7334446,"Medium Income",Adult
9715362,"Medium Income",Senior
14304676,"Medium Income",Adult
2476522,"High Income",Senior
4659492,"High Income",Senior
10960082,"Low Income",Senior
8098295,"Medium Income",Adult
3256259,"Low Income",Senior
5189431,"Low Income",Senior
7661080,"High Income",Senior
16138788,"High Income",Senior
10522168,"High Income",Senior
13241929,"Medium Income",Senior
2778060,"Medium Income",Adult
15042825,"Low Income",Adult
12333215,"Low Income",Adult
4633958,"Medium Income",Adult
13019902,"Low Income",Adult
5603509,"Medium Income",Senior
11116198,"High Income",Senior
15868561,"Medium Income",Senior
4220934,"Medium Income",Senior
2461760,"Medium Income",Senior
8084446,"Medium Income",Adult
12889640,"Medium Income",Adult
1351415,"Medium Income",Senior
5847885,"Medium Income",Adult
10883693,"Low Income",Senior
13712016,"High Income",Senior
13566110,"Medium Income",Senior
1593362,"High Income",Senior
11631738,"Low Income",Adult
14273709,"Low Income",Senior
11081418,"High Income",Adult
16717327,"High Income",Adult
7962424,"Low Income",Senior
2074545,"Medium Income",Senior
16191596,"High Income",Adult
14182145,"Medium Income",Senior
7475656,"High Income",Senior
2144969,"Medium Income",Adult
7126736,"Medium Income",Adult
11789247,"Medium Income",Senior
15934969,"Low Income",Senior
6546123,"Medium Income",Senior
6022624,"Medium Income",Senior
4670598,"High Income",Adult
125262,"Low Income",Senior
501919,"Low Income",Adult
10486531,"Medium Income",Adult
2898544,"Low Income",Adult
7502064,"High Income",Senior
5779927,"Medium Income",Senior
10766274,"High Income",Senior
12511517,"Low Income",Adult
10834862,"High Income",Senior
855866,"Low Income",Adult
5631485,"High Income",Adult
13909598,"High Income",Adult
1379051,"High Income",Adult
3125883,"Medium Income",Senior
7852786,"High Income",Senior
6470543,"High Income",Adult
4541599,"High Income",Senior
3612763,"High Income",Adult
15002571,"Low Income",Adult
718843,"Medium Income",Senior
5298087,"High Income",Adult
2291323,"Low Income",Senior
523602,"High Income",Senior
7842621,"Medium Income",Senior
8983502,"Low Income",Adult
15507232,"Low Income",Senior
4213390,"High Income",Senior
14618029,"Low Income",Senior
6986753,"Low Income",Adult
6963900,"Medium Income",Adult
6243311,"High Income",Senior
11686856,"Low Income",Adult
16436386,"Medium Income",Senior
15631605,"High Income",Senior
14924747,"Low Income",Senior
6485248,"High Income",Adult
3434585,"Low Income",Adult
5765008,"High Income",Senior
288705,"High Income",Senior
15597048,"High Income",Senior
13632259,"Medium Income",Senior
8370497,"Low Income",Senior
8623360,"High Income",Senior
11173176,"Medium Income",Senior
9509960,"Medium Income",Senior
10833909,"Low Income",Senior
16055867,"Medium Income",Adult
4770747,"Medium Income",Senior
1670913,"Medium Income",Senior
10863814,"Medium Income",Senior
505474,"Medium Income",Adult
13578018,"Medium Income",Senior
2227296,"Low Income",Adult
7032777,"Medium Income",Senior
13448412,"Medium Income",Senior
4000302,"Medium Income",Adult
10094128,"Low Income",Adult
7404588,"High Income",Adult
9933461,"High Income",Adult
10707358,"Medium Income",Senior
16651677,"High Income",Senior
15777259,"Low Income",Adult
3299865,"Low Income",Senior
8789254,"Medium Income",Adult
6278675,"Medium Income",Senior
10998030,"Medium Income",Adult
14202541,"Medium Income",Adult
2353692,"Medium Income",Senior
2273939,"Low Income",Adult
12790090,"Medium Income",Senior
6281207,"Medium Income",Adult
10764279,"Medium Income",Senior
2550361,"Medium Income",Adult
16139703,"Medium Income",Adult
6872657,"Low Income",Senior
13031685,"High Income",Senior
427315,"High Income",Senior
11500846,"High Income",Senior
11816912,"Medium Income",Senior
5737593,"Medium Income",Adult
162109,"High Income",Senior
14174732,"High Income",Adult
771485,"High Income",Senior
12155432,"Medium Income",Senior
10570298,"Low Income",Adult
7434530,"Medium Income",Senior
7368119,"Low Income",Senior
11831614,"Low Income",Senior
6517596,"Low Income",Adult
4589042,"Low Income",Adult
4844209,"Medium Income",Senior
10752807,"High Income",Senior
9270450,"High Income",Adult
11583523,"Medium Income",Adult
12561407,"Medium Income",Adult
7740175,"Medium Income",Adult
3137287,"Medium Income",Senior
16101360,"High Income",Senior
13446620,"High Income",Senior
5637011,"Low Income",Senior
1730185,"Low Income",Senior
15153784,"High Income",Senior
11381763,"High Income",Adult
4766385,"High Income",Senior
11852990,"Low Income",Adult
12390053,"Medium Income",Senior
595896,"Low Income",Adult
9363638,"High Income",Senior
12014468,"High Income",Senior
11535807,"Medium Income",Adult
10143114,"High Income",Senior
3851012,"High Income",Senior
12773902,"Low Income",Adult
12214301,"High Income",Adult
12641029,"Medium Income",Senior
6241527,"Medium Income",Senior
2138183,"Low Income",Adult
10929273,"Low Income",Adult
7949273,"High Income",Senior
13569998,"High Income",Senior
7238176,"Medium Income",Senior
11312800,"High Income",Adult
447965,"Low Income",Senior
8112150,"High Income",Senior
14235078,"Medium Income",Senior
4066568,"High Income",Senior
10652206,"Medium Income",Senior
9654730,"Medium Income",Adult
8461091,"High Income",Senior
7708806,"Low Income",Adult
16110994,"Low Income",Adult
14693527,"High Income",Senior
10813798,"Medium Income",Senior
12958453,"Low Income",Senior
16537805,"High Income",Senior
3716931,"High Income",Senior
16139365,"Low Income",Senior
13488325,"Medium Income",Senior
12166132,"High Income",Adult
8954012,"Medium Income",Adult
1129739,"Medium Income",Senior
12742193,"Low Income",Senior
12265995,"Low Income",Adult
1908868,"Medium Income",Senior
13859864,"Medium Income",Adult
16103590,"Low Income",Adult
7183888,"Medium Income",Adult
2617544,"High Income",Senior
11557906,"Low Income",Adult
11092404,"High Income",Senior
2764967,"High Income",Adult
1502719,"Low Income",Senior
10867157,"Medium Income",Adult
12332935,"Medium Income",Adult
4670286,"Low Income",Adult
4985662,"Low Income",Adult
4226221,"Medium Income",Senior
3104940,"High Income",Senior
7715675,"Medium Income",Senior
16421785,"High Income",Adult
1932619,"Low Income",Adult
11845951,"Low Income",Senior
15687342,"High Income",Senior
4596937,"Medium Income",Senior
3687635,"Medium Income",Senior
4382438,"Low Income",Senior
8599567,"Medium Income",Senior
1079236,"Low Income",Adult
4929377,"Medium Income",Senior
95414,"High Income",Adult
2628052,"Low Income",Senior
4563580,"High Income",Senior
16663468,"High Income",Senior
11972319,"Medium Income",Senior
16369198,"Medium Income",Senior
7258975,"Medium Income",Senior
8147879,"Low Income",Adult
4142265,"High Income",Senior
8724620,"Low Income",Senior
12965150,"Low Income",Senior
8592328,"Medium Income",Adult
6394409,"High Income",Senior
14495078,"Medium Income",Senior
8356127,"Low Income",Senior
2346609,"Low Income",Adult
16588442,"Medium Income",Adult
1195571,"Medium Income",Adult
2710739,"High Income",Senior
7402432,"High Income",Senior
6673281,"Low Income",Adult
1973416,"High Income",Senior
4174777,"Low Income",Senior
8722031,"High Income",Senior
4835600,"High Income",Adult
16568033,"Medium Income",Senior
4060572,"High Income",Senior
7121337,"High Income",Senior
5855611,"Medium Income",Senior
2659391,"High Income",Senior
12382365,"Medium Income",Adult
4618728,"Medium Income",Adult
9369402,"Medium Income",Adult
14071840,"High Income",Adult
8542712,"Low Income",Adult
1618569,"Medium Income",Adult
675851,"Medium Income",Senior
16350586,"High Income",Senior
11653795,"Medium Income",Senior
12979747,"Low Income",Adult
567388,"Low Income",Senior
8276232,"High Income",Senior
16721942,"High Income",Adult
5562171,"High Income",Senior
4461764,"Medium Income",Senior
2827193,"High Income",Adult
659368,"Low Income",Adult
5144171,"High Income",Senior
10925233,"High Income",Adult
12391906,"Medium Income",Senior
11094332,"Medium Income",Adult
2150803,"Medium Income",Senior
8023096,"Low Income",Senior
11818603,"Low Income",Senior
5217532,"Medium Income",Adult
5748945,"Low Income",Adult
664625,"Medium Income",Adult
16197764,"Medium Income",Senior
9691601,"Medium Income",Adult
16233002,"Medium Income",Adult
947932,"Low Income",Senior
14731239,"Low Income",Senior
3650732,"High Income",Senior
7169397,"High Income",Senior
7659307,"Low Income",Adult
8289864,"High Income",Senior
2680942,"High Income",Adult
4017957,"High Income",Senior
12209756,"High Income",Adult
13959366,"Low Income",Adult
15312382,"Medium Income",Senior
1908414,"Medium Income",Adult
7786474,"Low Income",Senior
4357621,"Medium Income",Adult
5094249,"High Income",Senior
3435398,"Medium Income",Senior
1896463,"Low Income",Adult
13663161,"Medium Income",Senior
1067823,"Medium Income",Senior
2662928,"Medium Income",Senior
12913524,"Medium Income",Adult
1030698,"Low Income",Adult
13383510,"Medium Income",Adult
4236099,"Low Income",Adult
10588581,"Medium Income",Senior
1617729,"Medium Income",Senior
5235027,"Medium Income",Adult
13958538,"Medium Income",Senior
13207338,"Medium Income",Adult
8781505,"High Income",Senior
2876070,"Medium Income",Adult
12209425,"High Income",Senior
6559055,"Low Income",Senior
11135396,"Low Income",Adult
16231276,"High Income",Adult
13472777,"Low Income",Adult
15469624,"Medium Income",Adult
10776778,"Medium Income",Adult
3055486,"Medium Income",Senior
7086089,"Medium Income",Senior
9628435,"Medium Income",Senior
7530484,"Low Income",Adult
14675561,"High Income",Senior
2450416,"High Income",Senior
2012720,"High Income",Adult
1241419,"High Income",Senior
5936416,"Medium Income",Adult
3312016,"High Income",Senior
1662024,"Low Income",Adult
4963063,"Medium Income",Senior
4602131,"Medium Income",Adult
15781572,"Medium Income",Senior
1323416,"High Income",Senior
9597777,"Low Income",Senior
13271728,"Low Income",Senior
13936885,"High Income",Senior
1858528,"High Income",Adult
16623433,"Medium Income",Adult
3949509,"High Income",Adult
10510809,"Medium Income",Adult
503591,"Medium Income",Senior
725935,"Medium Income",Senior
2041060,"Medium Income",Senior
10156781,"Low Income",Senior
10202665,"Medium Income",Adult
8978691,"Low Income",Senior
15657025,"Low Income",Senior
6942643,"High Income",Senior
4882003,"Medium Income",Senior
12752728,"Low Income",Senior
6086088,"High Income",Adult
15337859,"Medium Income",Senior
5117234,"Medium Income",Adult
3591176,"Medium Income",Senior
4725374,"Low Income",Senior
9295986,"High Income",Adult
9302047,"Low Income",Senior
3937002,"High Income",Adult
3583267,"Medium Income",Senior
11429841,"Low Income",Adult
13204922,"High Income",Adult
15552357,"High Income",Senior
3054562,"High Income",Adult
2364672,"High Income",Senior
5760033,"High Income",Senior
16719059,"High Income",Adult
2177892,"Low Income",Senior
8304992,"High Income",Senior
857244,"Low Income",Senior
10651489,"Low Income",Adult
12489643,"High Income",Senior
950199,"Low Income",Adult
780975,"Low Income",Adult
14027247,"Low Income",Adult
14229799,"High Income",Senior
1689622,"Medium Income",Adult
770031,"Medium Income",Adult
6806509,"High Income",Senior
11041780,"Low Income",Senior
11819880,"Medium Income",Adult
8117320,"Low Income",Senior
8000691,"Medium Income",Adult
579935,"Low Income",Senior
4269713,"High Income",Senior
2960617,"High Income",Adult
603906,"Medium Income",Adult
13700402,"Medium Income",Adult
11659296,"Medium Income",Senior
4674328,"Medium Income",Senior
737093,"Low Income",Senior
5284220,"High Income",Senior
8003422,"Medium Income",Adult
12698102,"Medium Income",Senior
5827404,"Medium Income",Senior
14237009,"Low Income",Senior
11252028,"Medium Income",Senior
5580287,"Low Income",Adult
16232624,"Medium Income",Senior
9692517,"High Income",Senior
5998939,"Low Income",Adult
10657791,"High Income",Adult
7096504,"High Income",Adult
14893941,"Medium Income",Adult
3155789,"Low Income",Adult
4603520,"High Income",Senior
12863095,"Low Income",Senior
3864626,"High Income",Adult
11320731,"High Income",Adult
16769302,"Medium Income",Adult
9181811,"High Income",Adult
9515728,"Low Income",Adult
16029027,"Medium Income",Senior
1506701,"Medium Income",Senior
10423555,"High Income",Senior
7507403,"Medium Income",Adult
12162127,"Low Income",Senior
4640566,"Low Income",Senior
9871585,"High Income",Adult
16292426,"Medium Income",Senior
2994817,"High Income",Senior
13772157,"High Income",Adult
4975464,"High Income",Senior
3085460,"High Income",Senior
9130876,"High Income",Senior
13936717,"Medium Income",Senior
9823067,"High Income",Adult
2967915,"Medium Income",Adult
1008431,"Low Income",Adult
16185381,"Medium Income",Adult
2570202,"Medium Income",Senior
5270698,"Medium Income",Senior
8809338,"Medium Income",Adult
6441182,"High Income",Adult
13670267,"Medium Income",Adult
2745149,"Low Income",Senior
4667190,"High Income",Senior
4549256,"Low Income",Adult
6504681,"High Income",Senior
354172,"Low Income",Adult
11633891,"High Income",Adult
13526020,"Medium Income",Adult
10442083,"Low Income",Senior
12038359,"Medium Income",Adult
10622721,"Medium Income",Senior
13917772,"Low Income",Adult
2673623,"High Income",Senior
15639674,"Low Income",Senior
6465417,"Medium Income",Adult
15372343,"Low Income",Senior
14270474,"Medium Income",Senior
13789562,"Medium Income",Adult
8822376,"Medium Income",Senior
2001282,"High Income",Senior
15382557,"High Income",Senior
15252803,"Medium Income",Senior
10988730,"High Income",Senior
11338673,"High Income",Adult
7574238,"High Income",Senior
9185064,"High Income",Senior
1294579,"Low Income",Adult
4225085,"Low Income",Senior
14030154,"Medium Income",Adult
11999227,"Low Income",Adult
8045295,"Low Income",Senior
4739055,"High Income",Senior
7243347,"High Income",Adult
14112393,"High Income",Senior
526195,"High Income",Senior
8910506,"High Income",Senior
5567676,"Medium Income",Senior
1902834,"Low Income",Adult
16090022,"Medium Income",Senior
11896764,"Medium Income",Senior
12302786,"High Income",Senior
3636104,"High Income",Senior
283158,"High Income",Senior
5753845,"High Income",Senior
15236291,"High Income",Adult
2568072,"High Income",Senior
6882451,"Medium Income",Senior
8657003,"High Income",Senior
9557878,"Medium Income",Senior
11006685,"Medium Income",Adult
16608175,"High Income",Senior
4839738,"Medium Income",Senior
3278230,"Medium Income",Senior
1467542,"Medium Income",Adult
11343316,"Medium Income",Adult
15074972,"Low Income",Senior
6460066,"Low Income",Senior
4495709,"Medium Income",Adult
10275844,"High Income",Senior
8351086,"Low Income",Senior
2039931,"Low Income",Senior
6884299,"Low Income",Senior
16253270,"High Income",Senior
6950450,"Medium Income",Adult
7293627,"Medium Income",Adult
8998228,"Low Income",Adult
11303168,"High Income",Adult
9075098,"Medium Income",Senior
5342858,"Medium Income",Adult
12794853,"Medium Income",Senior
4226890,"High Income",Adult
15254021,"Medium Income",Senior
14688767,"High Income",Senior
5475115,"Medium Income",Adult
7603915,"Low Income",Senior
1027595,"Low Income",Adult
6564930,"High Income",Senior
9964837,"Low Income",Senior
9866965,"High Income",Adult
11450115,"Medium Income",Senior
1482269,"High Income",Senior
529538,"Medium Income",Adult
16519471,"Medium Income",Adult
5421329,"Medium Income",Adult
7026972,"High Income",Senior
10362648,"High Income",Adult
3747350,"High Income",Senior
6868663,"Low Income",Adult
2355781,"Medium Income",Senior
6161341,"Medium Income",Senior
2581357,"Medium Income",Senior
16514166,"Low Income",Senior
11227653,"High Income",Senior
16202899,"Medium Income",Adult
14236102,"Low Income",Senior
14852310,"High Income",Adult
4675830,"Medium Income",Adult
11003511,"High Income",Senior
16384737,"Low Income",Adult
11508957,"Medium Income",Senior
15914652,"High Income",Senior
10455560,"Medium Income",Senior
6037693,"High Income",Senior
4806012,"High Income",Senior
10847132,"High Income",Adult
6984881,"High Income",Senior
10877390,"Medium Income",Adult
16084803,"Medium Income",Senior
14526455,"Medium Income",Senior
1289221,"High Income",Senior
1523127,"High Income",Senior
16426207,"Medium Income",Senior
12177356,"High Income",Senior
11203783,"Medium Income",Senior
22838,"Medium Income",Senior
1316781,"Low Income",Adult
7909643,"High Income",Senior
2375278,"Medium Income",Senior
11729028,"Low Income",Senior
9060012,"High Income",Senior
7334783,"Medium Income",Senior
6031246,"Low Income",Senior
7885181,"High Income",Senior
5604445,"Medium Income",Adult
3892665,"Medium Income",Adult
9791543,"Low Income",Adult
11462687,"Medium Income",Senior
15762421,"Medium Income",Senior
12772715,"Medium Income",Adult
15745524,"Medium Income",Adult
11377293,"High Income",Adult
12052690,"Medium Income",Senior
12210754,"High Income",Senior
15630443,"High Income",Adult
8544177,"Low Income",Adult
8913751,"Medium Income",Adult
12113223,"Medium Income",Senior
2453385,"High Income",Adult
8532917,"High Income",Senior
4297968,"Low Income",Senior
7593046,"High Income",Adult
10482137,"Low Income",Senior
6580771,"High Income",Adult
5207381,"Medium Income",Senior
3867294,"Low Income",Adult
8904202,"High Income",Senior
5267038,"Low Income",Senior
4678097,"High Income",Senior
12182226,"High Income",Adult
9411666,"Medium Income",Senior
5371553,"High Income",Senior
6531302,"High Income",Senior
8001699,"Medium Income",Adult
4898200,"Medium Income",Senior
5798865,"High Income",Senior
1436072,"Medium Income",Adult
509035,"High Income",Adult
3640951,"Low Income",Senior
6571443,"Medium Income",Senior
10577800,"Low Income",Adult
4223556,"Medium Income",Senior
4167408,"Medium Income",Adult
2206662,"Low Income",Adult
14629554,"Medium Income",Adult
1179935,"Low Income",Adult
11718729,"Low Income",Senior
4938392,"Medium Income",Senior
6046233,"High Income",Senior
7294230,"Medium Income",Senior
2535037,"Low Income",Adult
1340844,"High Income",Senior
14083868,"Medium Income",Adult
7670964,"Low Income",Adult
773851,"High Income",Adult
8450862,"Low Income",Senior
12658352,"High Income",Senior
15956169,"Low Income",Adult
4439430,"High Income",Adult
15635086,"Low Income",Senior
87547,"High Income",Adult
13399451,"Medium Income",Adult
16675845,"Medium Income",Senior
1669714,"High Income",Senior
4609462,"Low Income",Senior
233874,"Medium Income",Senior
14739723,"Medium Income",Senior
16545774,"Medium Income",Adult
9505592,"High Income",Senior
3544308,"High Income",Senior
6510747,"Low Income",Senior
8384754,"High Income",Senior
7777465,"High Income",Adult
6590009,"Medium Income",Senior
5469925,"Medium Income",Senior
968351,"High Income",Adult
3203783,"High Income",Senior
7027565,"Medium Income",Adult
12506575,"Medium Income",Senior
11280291,"Low Income",Senior
888274,"Low Income",Adult
2958994,"Low Income",Adult
2181649,"Low Income",Senior
406260,"High Income",Senior
3330313,"Medium Income",Senior
5730919,"Low Income",Senior
5157797,"High Income",Senior
8517419,"Low Income",Adult
9717097,"High Income",Adult
16401440,"High Income",Senior
4203577,"Medium Income",Senior
5466158,"Medium Income",Adult
5979065,"Medium Income",Senior
7174249,"Medium Income",Senior
15391704,"Low Income",Senior
8918914,"Medium Income",Senior
16504725,"Medium Income",Adult
5813870,"High Income",Adult
7045751,"Low Income",Adult
520457,"Medium Income",Adult
5166082,"High Income",Senior
11648217,"Low Income",Senior
9562050,"High Income",Senior
16516222,"Medium Income",Adult
893519,"Low Income",Adult
474803,"High Income",Senior
9399049,"Medium Income",Senior
15889287,"Medium Income",Adult
12870004,"High Income",Senior
14144269,"High Income",Senior
12202909,"Medium Income",Adult
8009250,"Low Income",Senior
14814951,"Medium Income",Adult
14007761,"Medium Income",Adult
2596844,"Medium Income",Senior
7148574,"Medium Income",Adult
10877916,"Medium Income",Senior
9663344,"High Income",Senior
11711547,"Medium Income",Senior
10049349,"Medium Income",Senior
9522182,"Medium Income",Senior
772819,"Medium Income",Senior
15276074,"Medium Income",Senior
1659741,"High Income",Adult
10581132,"High Income",Adult
10316798,"Low Income",Senior
1923587,"Medium Income",Senior
1209345,"Low Income",Adult
16372598,"Low Income",Adult
11199210,"High Income",Senior
10485515,"High Income",Adult
15437446,"High Income",Adult
4874715,"Low Income",Senior
15855071,"High Income",Senior
14146875,"High Income",Senior
12969723,"Medium Income",Senior
16252612,"High Income",Adult
7809888,"Medium Income",Senior
12315947,"Medium Income",Senior
8478869,"Medium Income",Senior
12110608,"Low Income",Adult
1789744,"Low Income",Senior
10567305,"High Income",Senior
10658418,"High Income",Senior
2413867,"High Income",Adult
12186217,"Low Income",Senior
9637546,"High Income",Senior
2310378,"Low Income",Senior
3020920,"High Income",Senior
9950444,"Low Income",Adult
1691972,"High Income",Senior
1591452,"Medium Income",Adult
9510931,"Medium Income",Senior
1038256,"Low Income",Senior
15693530,"Low Income",Adult
317253,"Medium Income",Adult
2478175,"Medium Income",Senior
2135261,"Low Income",Adult
9146994,"High Income",Senior
10920241,"Medium Income",Senior
2111413,"Low Income",Senior
10759966,"Low Income",Senior
12572611,"High Income",Adult
8628392,"Medium Income",Adult
9481112,"Low Income",Senior
9235725,"Medium Income",Senior
10807476,"Medium Income",Adult
12664777,"Low Income",Adult
13409810,"High Income",Senior
9140743,"High Income",Senior
8665400,"Medium Income",Adult
3958731,"Low Income",Senior
2235081,"Medium Income",Senior
15102659,"Medium Income",Senior
14783662,"High Income",Senior
16109251,"Medium Income",Senior
12044096,"High Income",Adult
7690302,"Low Income",Senior
10355158,"High Income",Adult
13690007,"High Income",Adult
13938435,"Medium Income",Senior
14354623,"High Income",Adult
15984655,"High Income",Adult
14230344,"Medium Income",Senior
15432526,"Low Income",Senior
